"Nr OKW";"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert BIEDROŃ";"Krzysztof BOSAK";"Andrzej Sebastian DUDA";"Szymon Franciszek HOŁOWNIA";"Marek JAKUBIAK";"Władysław Marcin KOSINIAK-KAMYSZ";"Mirosław Mariusz PIOTROWSKI";"Paweł Jan TANAJNO";"Rafał Kazimierz TRZASKOWSKI";"Waldemar Włodzimierz WITKOWSKI";"Stanisław Józef ŻÓŁTEK";"Liczba obwodów"
16;"101703";"gmina wiejska";"gm. Konopnica";"wieluński";"łódzkie";2813;3157;795;2020;4;29;41;41;2;0;0;0;39;2059;39;0;2059;3;0;3;0;2056;25;130;1214;230;3;73;0;6;369;1;5;6
16;"101704";"gmina wiejska";"gm. Mokrsko";"wieluński";"łódzkie";3906;4316;1156;2750;14;7;22;21;2;0;0;0;19;2769;19;0;2769;14;4;10;0;2755;40;196;1604;392;3;80;1;2;425;3;9;6
16;"101705";"gmina wiejska";"gm. Osjaków";"wieluński";"łódzkie";3419;3773;888;2531;3;24;10;10;0;0;0;0;10;2541;10;1;2540;14;3;11;0;2526;20;167;1595;309;2;107;3;2;318;0;3;6
16;"101706";"gmina wiejska";"gm. Ostrówek";"wieluński";"łódzkie";3279;3619;1117;2162;7;13;19;18;3;0;0;0;15;2177;15;0;2177;7;0;7;0;2170;25;117;1373;218;3;92;2;0;332;2;6;6
16;"101707";"gmina wiejska";"gm. Pątnów";"wieluński";"łódzkie";4833;5248;1404;3429;3;26;27;26;0;0;0;0;26;3455;26;0;3455;14;3;11;0;3441;37;166;2283;428;6;108;1;2;398;2;10;9
16;"101708";"gmina wiejska";"gm. Skomlin";"wieluński";"łódzkie";2388;2572;773;1615;4;0;20;20;0;0;0;0;20;1635;20;0;1635;5;1;4;0;1630;23;136;899;209;1;97;2;3;253;4;3;4
16;"101709";"gmina miejsko-wiejska";"gm. Wieluń";"wieluński";"łódzkie";23297;25017;7299;15997;8;98;102;99;1;0;0;0;98;16090;98;1;16089;45;16;29;0;16044;365;918;7174;2260;33;440;14;22;4761;23;34;25
16;"101710";"gmina wiejska";"gm. Wierzchlas";"wieluński";"łódzkie";4139;5457;828;3311;3;27;39;38;0;0;0;0;38;3349;38;0;3349;13;8;5;0;3336;61;201;1844;476;7;144;2;1;591;2;7;7
16;"101801";"gmina wiejska";"gm. Bolesławiec";"wieruszowski";"łódzkie";2484;3252;620;1864;0;17;16;16;1;0;0;0;15;1879;15;0;1879;14;7;7;0;1865;22;168;985;252;1;86;1;3;342;4;1;4
16;"101802";"gmina wiejska";"gm. Czastary";"wieruszowski";"łódzkie";2879;3186;984;1895;0;15;21;21;0;0;0;2;19;1912;19;0;1912;11;8;3;0;1901;30;125;1106;280;8;85;1;4;258;0;4;3
16;"101803";"gmina wiejska";"gm. Galewice";"wieruszowski";"łódzkie";3758;4916;909;2849;0;11;61;56;3;0;0;0;53;2902;53;0;2902;9;3;6;0;2893;45;242;1652;387;4;74;2;2;475;3;7;5
16;"101804";"gmina miejsko-wiejska";"gm. Lututów";"wieruszowski";"łódzkie";2955;3633;703;2251;9;8;27;27;1;0;0;1;25;2276;25;0;2276;9;2;7;0;2267;42;149;1402;250;2;103;7;2;307;0;3;6
16;"101805";"gmina wiejska";"gm. Łubnice";"wieruszowski";"łódzkie";2528;3306;524;2004;1;10;22;22;0;0;0;0;22;2026;22;0;2026;11;2;9;0;2015;23;142;1153;262;3;147;0;1;279;0;5;3
16;"101806";"gmina wiejska";"gm. Sokolniki";"wieruszowski";"łódzkie";3246;3984;811;2435;4;6;27;27;0;0;0;0;27;2462;27;0;2462;9;2;7;0;2453;26;184;1403;298;3;85;3;4;440;3;4;4
16;"101807";"gmina miejsko-wiejska";"gm. Wieruszów";"wieruszowski";"łódzkie";10374;11280;3269;7105;1;34;100;94;3;0;0;0;91;7195;91;1;7194;32;10;22;0;7162;141;492;3250;1072;12;197;8;5;1971;3;11;13
16;"101901";"gmina miejska";"m. Zduńska Wola";"zduńskowolski";"łódzkie";28831;32144;7999;20831;5;89;171;163;8;0;2;0;153;20984;153;2;20982;56;21;35;0;20926;549;1294;9544;2924;33;348;18;38;6101;32;45;23
16;"101902";"gmina miejsko-wiejska";"gm. Szadek";"zduńskowolski";"łódzkie";4634;5898;915;3719;5;21;31;29;0;0;0;0;29;3748;29;0;3748;10;5;5;0;3738;66;225;2129;459;4;126;5;6;698;8;12;8
16;"101903";"gmina wiejska";"gm. Zapolice";"zduńskowolski";"łódzkie";3153;4198;566;2587;9;20;14;12;1;0;0;0;11;2596;11;0;2596;2;1;1;0;2594;49;142;1493;322;1;66;6;0;505;5;5;4
16;"101904";"gmina wiejska";"gm. Zduńska Wola";"zduńskowolski";"łódzkie";8601;9443;2473;6128;1;22;41;41;1;0;0;0;40;6168;40;0;6168;16;6;10;0;6152;123;366;3368;949;18;187;6;14;1103;8;10;7
14;"102001";"gmina miejska";"m. Głowno";"zgierski";"łódzkie";10474;11372;3331;7143;5;29;38;37;2;0;1;1;34;7177;34;0;7177;26;8;18;0;7151;175;327;2888;1079;14;138;7;8;2475;13;27;12
14;"102002";"gmina miejska";"m. Ozorków";"zgierski";"łódzkie";13677;15007;4213;9464;16;36;46;46;1;0;0;0;45;9509;45;1;9508;38;12;26;0;9470;206;634;4332;1250;7;203;6;15;2784;8;25;16
14;"102003";"gmina miejska";"m. Zgierz";"zgierski";"łódzkie";39810;43421;10922;28879;23;145;291;281;16;0;1;0;264;29143;264;0;29143;73;23;50;0;29070;822;1582;11273;4259;37;567;26;41;10354;37;72;39
14;"102004";"gmina miejsko-wiejska";"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";22554;24880;5304;17250;7;97;190;186;0;0;2;0;184;17434;184;1;17433;48;18;30;0;17385;454;1016;6108;2791;26;333;11;26;6555;34;31;13
14;"102005";"gmina wiejska";"gm. Głowno";"zgierski";"łódzkie";3521;3909;1076;2446;8;1;8;8;0;0;0;0;8;2454;8;0;2454;12;3;9;0;2442;45;151;1555;278;3;80;1;1;322;3;3;6
14;"102006";"gmina wiejska";"gm. Ozorków";"zgierski";"łódzkie";5345;5789;1399;3946;0;50;51;51;20;0;0;0;31;3977;31;0;3977;15;2;13;0;3962;77;251;2199;410;8;108;0;4;893;4;8;7
14;"102007";"gmina wiejska";"gm. Parzęczew";"zgierski";"łódzkie";3776;4211;984;2792;3;34;13;13;0;0;0;0;13;2805;13;0;2805;8;1;7;0;2797;49;206;1337;385;8;89;1;7;711;1;3;9
14;"102008";"gmina miejsko-wiejska";"gm. Stryków";"zgierski";"łódzkie";9204;10145;2213;6991;10;68;85;83;3;1;0;0;79;7069;79;0;7069;17;7;10;0;7052;148;476;3127;1002;14;203;10;5;2036;9;22;10
14;"102009";"gmina wiejska";"gm. Zgierz";"zgierski";"łódzkie";10597;11855;2505;8092;7;99;69;68;2;0;0;0;66;8157;66;1;8156;27;10;17;0;8129;161;422;3499;1142;15;191;2;12;2658;11;16;9
14;"102101";"gmina miejska";"m. Brzeziny";"brzeziński";"łódzkie";8984;9702;2618;6364;14;22;38;38;2;0;0;0;36;6401;36;8;6393;26;3;23;0;6367;111;386;3046;915;9;149;7;11;1706;9;18;9
14;"102102";"gmina wiejska";"gm. Brzeziny";"brzeziński";"łódzkie";4115;4548;1030;3085;9;16;8;8;0;0;0;0;8;3093;8;0;3093;18;9;9;0;3075;47;202;1679;398;10;134;2;3;594;2;4;5
14;"102103";"gmina wiejska";"gm. Dmosin";"brzeziński";"łódzkie";3322;3674;1002;2320;12;14;16;16;1;0;0;0;15;2335;15;0;2335;7;2;5;0;2328;43;122;1343;228;5;146;4;5;425;3;4;8
14;"102104";"gmina wiejska";"gm. Jeżów";"brzeziński";"łódzkie";2483;2729;688;1795;2;3;16;16;0;0;0;0;16;1811;16;0;1811;9;1;8;0;1802;14;100;1156;172;3;121;5;5;217;2;7;10
14;"102105";"gmina wiejska";"gm. Rogów";"brzeziński";"łódzkie";3395;3752;929;2466;6;18;25;25;2;0;0;0;23;2488;23;0;2488;7;2;5;0;2481;43;171;1425;320;2;87;2;0;424;4;3;7
14;"106101";"gmina miejska";"m. Łódź";"Łódź";"łódzkie";481497;522350;132572;349039;128;2665;3261;3057;35;4;12;1;3009;351974;3009;154;351820;1066;447;619;0;350754;11259;19790;107557;50967;545;5837;315;607;152376;632;869;314
15;"106201";"gmina miejska";"m. Piotrków Trybunalski";"Piotrków Trybunalski";"łódzkie";52843;56716;16014;36829;23;211;302;289;13;0;2;0;274;37102;274;4;37098;110;35;75;0;36988;944;2190;16078;5360;72;672;48;50;11453;52;69;41
17;"106301";"gmina miejska";"m. Skierniewice";"Skierniewice";"łódzkie";33581;36591;8374;25207;13;125;215;206;5;0;1;0;200;25399;200;2;25397;59;28;31;0;25338;587;1551;10278;4005;42;581;45;40;8104;38;67;27
20;"120101";"gmina miejska";"m. Bochnia";"bocheński";"małopolskie";20956;22760;5495;15462;19;72;239;227;8;0;1;1;217;15678;217;0;15678;43;17;26;0;15635;314;1168;7368;2034;28;478;21;10;4161;17;36;17
20;"120102";"gmina wiejska";"gm. Bochnia";"bocheński";"małopolskie";14066;15585;3598;10466;2;47;95;93;0;0;0;0;93;10560;93;3;10557;26;7;19;0;10531;116;846;6642;1071;20;393;6;14;1393;9;21;16
20;"120103";"gmina wiejska";"gm. Drwinia";"bocheński";"małopolskie";4868;5259;1354;3514;4;8;81;78;4;0;0;1;73;3587;73;1;3586;9;5;4;0;3577;31;273;2576;252;12;115;4;5;302;5;2;6
20;"120104";"gmina wiejska";"gm. Lipnica Murowana";"bocheński";"małopolskie";3911;4321;998;2913;2;16;38;38;0;0;0;0;38;2951;38;0;2951;9;3;6;0;2942;21;204;2156;170;5;132;1;1;241;5;6;5
20;"120105";"gmina wiejska";"gm. Łapanów";"bocheński";"małopolskie";5656;6381;1379;4277;3;34;23;23;2;0;0;0;21;4296;21;0;4296;13;3;10;0;4283;34;330;2856;338;8;238;6;7;450;1;15;5
20;"120106";"gmina miejsko-wiejska";"gm. Nowy Wiśnicz";"bocheński";"małopolskie";10082;11149;2288;7794;1;36;85;82;0;0;0;0;82;7876;82;2;7874;22;9;13;0;7852;87;575;5316;587;14;268;4;12;971;7;11;9
20;"120107";"gmina wiejska";"gm. Rzezawa";"bocheński";"małopolskie";7457;8798;1686;5771;0;10;78;76;1;0;0;0;75;5845;75;0;5845;14;3;11;0;5831;62;553;3829;526;13;142;9;3;677;3;14;9
20;"120108";"gmina wiejska";"gm. Trzciana";"bocheński";"małopolskie";3890;4326;780;3110;0;18;35;35;0;0;0;0;35;3145;35;0;3145;9;1;8;0;3136;20;230;2281;201;8;137;0;5;241;2;11;5
20;"120109";"gmina wiejska";"gm. Żegocina";"bocheński";"małopolskie";4006;4192;884;3122;6;19;54;52;2;0;0;0;50;3172;50;0;3172;8;4;4;0;3164;12;244;2449;157;5;82;3;1;204;2;5;4
20;"120201";"gmina wiejska";"gm. Borzęcin";"brzeski";"małopolskie";6085;6703;2208;3877;1;16;47;46;5;0;0;0;41;3918;41;0;3918;15;3;12;0;3903;39;416;2596;281;5;137;4;5;409;3;8;7
20;"120202";"gmina miejsko-wiejska";"gm. Brzesko";"brzeski";"małopolskie";26092;28461;8037;18055;2;71;228;223;4;2;2;1;214;18267;214;0;18267;50;14;36;0;18217;282;1757;9888;1934;26;732;23;16;3505;16;38;22
20;"120203";"gmina miejsko-wiejska";"gm. Czchów";"brzeski";"małopolskie";6935;7538;2075;4861;3;50;46;45;9;0;0;0;36;4897;36;0;4897;19;3;16;0;4878;45;359;3261;386;14;192;6;6;596;1;12;8
20;"120204";"gmina wiejska";"gm. Dębno";"brzeski";"małopolskie";10515;11409;3098;7417;19;35;68;67;3;0;0;1;63;7480;63;1;7479;26;9;17;0;7453;105;812;4502;786;8;298;9;10;897;5;21;12
20;"120205";"gmina wiejska";"gm. Gnojnik";"brzeski";"małopolskie";5539;6144;1598;3941;1;24;53;50;4;0;0;0;46;3987;46;0;3987;8;2;6;0;3979;9;398;2843;289;3;120;5;3;306;1;2;6
20;"120206";"gmina wiejska";"gm. Iwkowa";"brzeski";"małopolskie";4429;4993;1013;3415;1;37;64;61;0;0;0;0;61;3475;61;1;3474;6;1;5;0;3468;16;284;2613;168;2;170;1;1;209;0;4;4
20;"120207";"gmina wiejska";"gm. Szczurowa";"brzeski";"małopolskie";7003;7549;2750;4253;0;14;25;24;0;0;0;0;24;4277;24;0;4277;14;1;13;0;4263;43;339;2926;301;9;202;5;2;430;0;6;11
18;"120301";"gmina miejsko-wiejska";"gm. Alwernia";"chrzanowski";"małopolskie";9154;10008;2542;6612;2;41;85;78;2;0;0;0;76;6688;76;0;6688;11;0;11;0;6677;123;443;3417;877;17;172;3;7;1598;2;18;8
18;"120302";"gmina wiejska";"gm. Babice";"chrzanowski";"małopolskie";6686;7306;1804;4882;1;9;46;38;3;0;0;0;35;4917;35;0;4917;11;0;11;0;4906;75;398;2481;689;13;156;4;5;1073;3;9;9
18;"120303";"gmina miejsko-wiejska";"gm. Chrzanów";"chrzanowski";"małopolskie";33474;36298;10129;23345;16;118;301;288;11;0;3;1;273;23611;273;1;23610;62;24;38;0;23548;633;1475;9074;3311;35;501;25;37;8357;33;67;31
18;"120304";"gmina miejsko-wiejska";"gm. Libiąż";"chrzanowski";"małopolskie";16003;17430;4484;11520;6;46;159;155;10;0;1;0;144;11663;144;2;11661;43;13;30;0;11618;250;845;5568;1505;14;235;12;20;3124;15;30;15
18;"120305";"gmina miejsko-wiejska";"gm. Trzebinia";"chrzanowski";"małopolskie";24413;26600;7162;17251;5;84;230;216;10;1;0;1;204;17452;204;2;17450;53;9;44;0;17397;358;1251;7123;2635;28;384;15;28;5510;18;47;26
20;"120401";"gmina wiejska";"gm. Bolesław";"dąbrowski";"małopolskie";2048;2210;1045;1003;5;7;0;0;0;0;0;0;0;1003;0;0;1003;4;1;3;0;999;10;71;678;53;2;107;0;0;76;0;2;2
20;"120402";"gmina miejsko-wiejska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";15206;16598;5517;9689;2;48;157;153;9;1;5;1;137;9825;137;0;9825;23;8;15;0;9802;95;710;6499;672;21;480;5;8;1282;7;23;20
20;"120403";"gmina wiejska";"gm. Gręboszów";"dąbrowski";"małopolskie";2558;2730;1144;1414;10;13;5;5;0;0;0;0;5;1418;5;0;1418;5;1;4;0;1413;7;82;965;57;2;203;1;0;95;1;0;4
20;"120404";"gmina wiejska";"gm. Mędrzechów";"dąbrowski";"małopolskie";2614;2808;1130;1484;13;5;8;8;0;0;0;0;8;1492;8;0;1492;2;1;1;0;1490;18;123;1011;85;2;114;2;2;130;2;1;4
20;"120405";"gmina wiejska";"gm. Olesno";"dąbrowski";"małopolskie";5767;6309;2247;3520;7;9;44;40;0;0;0;2;38;3558;38;0;3558;15;10;5;0;3543;26;246;2585;239;5;158;2;2;273;1;6;8
20;"120406";"gmina wiejska";"gm. Radgoszcz";"dąbrowski";"małopolskie";5352;5893;1820;3532;12;21;22;21;0;0;1;0;20;3552;20;0;3552;20;4;16;0;3532;19;227;2828;137;6;136;1;1;169;0;8;7
20;"120407";"gmina miejsko-wiejska";"gm. Szczucin";"dąbrowski";"małopolskie";9525;10510;3725;5800;14;19;64;64;6;1;6;2;49;5849;49;0;5849;30;8;22;0;5819;68;395;3952;488;6;238;3;2;650;7;10;9
19;"120501";"gmina miejska";"m. Gorlice";"gorlicki";"małopolskie";20396;21828;7052;13344;11;78;172;169;12;0;0;0;157;13501;157;1;13500;46;19;27;0;13454;227;968;6510;1509;19;331;14;17;3822;13;24;22
19;"120502";"gmina miejsko-wiejska";"gm. Biecz";"gorlicki";"małopolskie";12339;13497;4359;7980;1;39;89;87;2;1;0;0;84;8063;84;0;8063;32;10;22;0;8031;101;611;5382;658;13;211;12;8;1009;11;15;12
19;"120503";"gmina miejsko-wiejska";"gm. Bobowa";"gorlicki";"małopolskie";6681;7432;1901;4780;6;29;48;47;0;0;1;0;46;4825;46;0;4825;22;8;14;0;4803;19;415;3471;344;2;120;6;6;411;1;8;7
19;"120504";"gmina wiejska";"gm. Gorlice";"gorlicki";"małopolskie";12468;13867;3869;8599;0;41;111;110;1;0;0;1;109;8708;109;0;8708;17;4;13;0;8691;78;722;5404;895;7;242;12;12;1289;6;24;11
19;"120505";"gmina wiejska";"gm. Lipinki";"gorlicki";"małopolskie";4888;5437;1545;3343;3;9;34;32;0;0;0;0;32;3373;32;0;3373;13;10;3;0;3360;33;216;2355;289;9;83;2;6;359;1;7;7
19;"120506";"gmina wiejska";"gm. Łużna";"gorlicki";"małopolskie";6004;6595;1917;4087;4;24;33;31;2;0;0;0;29;4116;29;0;4116;15;8;7;0;4101;42;367;2743;318;5;160;4;6;446;2;8;9
19;"120507";"gmina wiejska";"gm. Moszczenica";"gorlicki";"małopolskie";3504;3852;1196;2308;3;16;30;30;2;0;0;0;28;2336;28;0;2336;3;0;3;0;2333;16;217;1662;175;5;77;0;2;173;1;5;3
19;"120508";"gmina wiejska";"gm. Ropa";"gorlicki";"małopolskie";3808;4145;1085;2723;17;26;24;21;4;0;0;0;17;2739;17;0;2739;5;2;3;0;2734;23;194;1903;253;2;82;7;4;257;2;7;6
19;"120509";"gmina wiejska";"gm. Sękowa";"gorlicki";"małopolskie";3649;4070;1179;2470;0;67;24;23;1;0;0;0;22;2492;22;0;2492;8;3;5;0;2484;41;174;1344;314;7;100;3;1;497;2;1;6
19;"120510";"gmina wiejska";"gm. Uście Gorlickie";"gorlicki";"małopolskie";4835;5606;1436;3399;2;197;11;11;0;0;0;0;11;3410;11;0;3410;10;2;8;0;3400;54;280;1763;460;3;118;5;3;704;2;8;10
18;"120601";"gmina wiejska";"gm. Czernichów";"krakowski";"małopolskie";10462;11549;2837;7674;2;44;75;75;1;0;0;0;74;7747;74;0;7747;25;10;15;0;7722;131;636;4125;927;16;245;10;10;1582;11;29;12
18;"120602";"gmina wiejska";"gm. Igołomia-Wawrzeńczyce";"krakowski";"małopolskie";5620;6197;1992;3628;7;12;18;18;2;0;0;0;16;3644;16;0;3644;8;4;4;0;3636;41;197;2372;327;8;148;2;6;523;1;11;7
18;"120603";"gmina wiejska";"gm. Iwanowice";"krakowski";"małopolskie";5466;7260;596;4870;3;26;65;65;1;0;0;0;64;4934;64;0;4934;19;2;17;0;4915;57;363;3014;512;9;148;4;5;787;4;12;6
18;"120604";"gmina wiejska";"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";8026;8810;1928;6098;1;36;93;81;6;0;1;0;77;6175;77;0;6175;27;9;18;0;6148;79;504;3705;672;13;199;9;8;943;7;9;8
18;"120605";"gmina wiejska";"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";10970;12248;2815;8156;0;36;100;92;0;0;1;0;91;8247;91;0;8247;25;7;18;0;8222;126;626;4231;948;17;308;6;5;1920;8;27;10
18;"120606";"gmina miejsko-wiejska";"gm. Krzeszowice";"krakowski";"małopolskie";23344;25538;6398;16946;12;99;201;192;2;0;0;0;190;17133;190;0;17133;51;18;33;0;17082;338;1190;8005;2242;48;515;17;25;4629;27;46;26
18;"120607";"gmina wiejska";"gm. Liszki";"krakowski";"małopolskie";12146;13404;2815;9315;3;42;110;108;3;0;1;0;104;9418;104;4;9414;27;10;17;0;9387;132;764;5305;1008;20;296;6;9;1817;10;20;12
18;"120608";"gmina wiejska";"gm. Michałowice";"krakowski";"małopolskie";7338;8327;1449;5888;1;69;72;72;0;0;0;1;71;5960;71;0;5960;8;3;5;0;5952;117;428;2605;793;10;205;7;6;1757;8;16;5
18;"120609";"gmina wiejska";"gm. Mogilany";"krakowski";"małopolskie";9773;11035;1814;7959;7;67;126;123;5;0;0;0;118;8078;118;24;8054;21;8;13;0;8033;118;633;3585;1097;16;215;10;10;2315;13;21;9
18;"120610";"gmina miejsko-wiejska";"gm. Skała";"krakowski";"małopolskie";7447;8398;1687;5760;2;26;50;49;1;0;5;0;43;5794;43;5;5789;13;8;5;0;5776;108;402;3190;744;6;200;5;7;1095;7;12;7
18;"120611";"gmina miejsko-wiejska";"gm. Skawina";"krakowski";"małopolskie";30529;33577;8014;22514;17;102;282;275;4;0;5;2;264;22775;264;1;22774;57;15;42;0;22717;445;1826;10761;3399;36;597;28;30;5496;35;64;25
18;"120612";"gmina miejsko-wiejska";"gm. Słomniki";"krakowski";"małopolskie";9791;10767;2927;6865;9;16;88;83;8;2;0;0;73;6937;73;0;6937;27;7;20;0;6910;96;554;4196;691;20;234;4;9;1076;6;24;12
18;"120613";"gmina wiejska";"gm. Sułoszowa";"krakowski";"małopolskie";4178;4629;897;3281;7;44;42;42;1;0;0;0;41;3322;41;0;3322;15;3;12;0;3307;28;209;2320;215;5;206;1;1;309;7;6;5
18;"120614";"gmina miejsko-wiejska";"gm. Świątniki Górne";"krakowski";"małopolskie";7228;8049;1698;5530;6;23;60;60;1;0;0;0;59;5588;59;0;5588;15;3;12;0;5573;76;464;2867;687;4;138;3;6;1312;4;12;5
18;"120615";"gmina wiejska";"gm. Wielka Wieś";"krakowski";"małopolskie";9107;10017;1718;7389;2;57;128;124;1;1;1;0;121;7510;121;1;7509;26;15;11;0;7483;139;575;3152;1129;11;247;5;13;2176;11;25;9
18;"120616";"gmina wiejska";"gm. Zabierzów";"krakowski";"małopolskie";19091;21115;3444;15648;7;143;296;290;4;2;1;3;280;15900;280;0;15900;38;12;26;0;15862;328;1161;6507;2192;22;421;12;12;5118;32;57;24
18;"120617";"gmina wiejska";"gm. Zielonki";"krakowski";"małopolskie";15374;17041;2819;12569;1;132;191;183;5;0;5;1;173;12742;173;6;12736;32;11;21;0;12704;305;941;4548;1942;22;381;11;14;4475;21;44;14
19;"120701";"gmina miejska";"m. Limanowa";"limanowski";"małopolskie";10852;11658;2916;7936;3;54;135;132;9;0;0;0;123;8059;123;0;8059;24;11;13;0;8035;96;683;4663;692;15;275;6;5;1569;7;24;15
19;"120702";"gmina miejska";"m. Mszana Dolna";"limanowski";"małopolskie";5576;6205;1588;3988;16;51;86;86;5;0;0;1;80;4068;80;0;4068;6;2;4;0;4062;56;296;2385;439;12;102;3;10;746;1;12;4
19;"120703";"gmina wiejska";"gm. Dobra";"limanowski";"małopolskie";6916;7604;2131;4785;0;29;98;96;10;0;0;0;86;4871;86;0;4871;9;3;6;0;4862;60;429;3324;332;4;129;3;4;558;3;16;9
19;"120704";"gmina wiejska";"gm. Jodłownik";"limanowski";"małopolskie";6050;6623;1844;4206;2;29;42;42;2;0;0;0;40;4246;40;0;4246;16;2;14;0;4230;21;267;3134;253;7;134;3;4;390;3;14;10
19;"120705";"gmina wiejska";"gm. Kamienica";"limanowski";"małopolskie";5396;5970;1528;3868;1;34;62;58;2;0;0;0;56;3924;56;0;3924;16;3;13;0;3908;29;304;2949;194;3;73;5;1;343;3;4;6
19;"120706";"gmina wiejska";"gm. Laskowa";"limanowski";"małopolskie";5539;6164;1006;4533;20;56;19;18;3;0;0;0;15;4548;15;0;4548;18;6;12;0;4530;40;357;3573;215;1;87;9;3;238;2;5;7
19;"120707";"gmina wiejska";"gm. Limanowa";"limanowski";"małopolskie";17336;19241;4116;13220;1;103;193;186;9;0;0;1;176;13396;176;0;13396;40;12;28;0;13356;106;970;9919;789;15;395;7;13;1113;4;25;19
19;"120708";"gmina wiejska";"gm. Łukowica";"limanowski";"małopolskie";6754;7500;1629;5125;0;26;80;79;1;0;0;1;77;5202;77;0;5202;18;8;10;0;5184;33;390;3908;297;6;166;6;6;358;3;11;7
19;"120709";"gmina wiejska";"gm. Mszana Dolna";"limanowski";"małopolskie";12002;13297;3254;8748;6;86;114;114;7;0;3;0;104;8850;104;0;8850;36;11;25;0;8814;76;646;6685;509;14;181;2;2;671;5;23;14
19;"120710";"gmina wiejska";"gm. Niedźwiedź";"limanowski";"małopolskie";4985;5605;1826;3159;8;47;50;49;2;0;0;0;47;3206;47;1;3205;12;8;4;0;3193;22;236;2368;185;3;72;1;1;295;2;8;4
19;"120711";"gmina wiejska";"gm. Słopnice";"limanowski";"małopolskie";4530;4978;1127;3403;0;23;34;34;2;0;1;0;31;3434;31;0;3434;11;2;9;0;3423;14;344;2601;198;4;64;5;2;185;3;3;5
19;"120712";"gmina wiejska";"gm. Tymbark";"limanowski";"małopolskie";4512;4981;1022;3490;6;21;55;54;6;0;4;0;44;3534;44;0;3534;8;5;3;0;3526;30;281;2537;255;7;75;4;4;318;3;12;5
18;"120801";"gmina wiejska";"gm. Charsznica";"miechowski";"małopolskie";5479;6119;1814;3665;11;16;98;96;0;0;4;0;92;3757;92;0;3757;15;2;13;0;3742;64;240;2369;330;9;218;3;5;495;2;7;8
18;"120802";"gmina wiejska";"gm. Gołcza";"miechowski";"małopolskie";4498;4983;1339;3159;1;11;43;37;2;0;0;0;35;3194;35;0;3194;13;4;9;0;3181;42;189;2037;301;7;215;3;0;381;0;6;7
18;"120803";"gmina wiejska";"gm. Kozłów";"miechowski";"małopolskie";3505;3877;1282;2223;0;16;50;50;0;0;3;0;47;2270;47;0;2270;4;1;3;0;2266;26;132;1625;149;3;64;2;3;246;1;15;9
18;"120804";"gmina wiejska";"gm. Książ Wielki";"miechowski";"małopolskie";3841;4215;1269;2572;0;37;17;17;0;0;0;0;17;2589;17;0;2589;8;0;8;0;2581;47;138;1763;188;5;96;2;2;334;6;0;11
18;"120805";"gmina miejsko-wiejska";"gm. Miechów";"miechowski";"małopolskie";14610;15689;4900;9710;21;63;70;68;4;0;1;0;63;9772;63;1;9771;27;12;15;0;9744;178;662;5227;982;34;420;13;6;2183;13;26;24
18;"120806";"gmina wiejska";"gm. Racławice";"miechowski";"małopolskie";1931;2075;756;1175;1;10;10;10;0;0;0;0;10;1185;10;0;1185;4;0;4;0;1181;14;51;821;68;4;81;3;2;135;1;1;3
18;"120807";"gmina wiejska";"gm. Słaboszów";"miechowski";"małopolskie";2644;2933;1043;1601;6;8;15;14;0;0;0;0;14;1615;14;0;1615;3;2;1;0;1612;22;76;1108;99;6;127;4;0;163;2;5;4
18;"120901";"gmina miejsko-wiejska";"gm. Dobczyce";"myślenicki";"małopolskie";10711;11733;2670;8041;1;40;139;138;3;1;5;0;129;8170;129;1;8169;28;10;18;0;8141;128;941;4448;940;14;227;9;9;1394;9;22;9
18;"120902";"gmina wiejska";"gm. Lubień";"myślenicki";"małopolskie";6850;7644;1622;5228;0;22;64;64;7;0;0;0;57;5285;57;0;5285;10;2;8;0;5275;35;466;3748;399;6;89;6;8;493;7;18;5
